name,address,postcode,indicator,postcode_used,lat,lng
LiHO @ City Square Mall,"City Square Mall #B2-K3/K4,180 Kitchener Road, 208539",208539,Liho,208539,1.311403,103.85662
LiHO @ Tanjong Pagar MRT Xchange,"Tanjong Pagar MRT Station (EW15) #B1-08,120 Maxwell Road, 069119",069119,Liho,069119,1.276691,103.845401
LiHO @ 100 AM,"100 AM #02-25,100 Tras Street, 079027",079027,Liho,079027,1.274929,103.843549
LiHO @ Alexandra Retail Centre,"Alexandra Retail Centre #01-10,460 Alexandra Road, 119963",119963,Liho,119963,1.273673,103.801381
LiHO @ west Coast Plaza,"West Coast Plaza #B1-57,154 West Coast Road, 127371",127371,Liho,127371,1.303843,103.76629200000001
LiHO @ Anchorpoint,"Anchorpoint Shopping Centre #%u200EB1%u202C-47,370 Alexandra Road, 159953",159953,Liho,159953,1.288541,103.805249
LiHO @ Raffles City Shopping Centre,"Raffles City Shopping Centre #B1-71,252 North Bridge Road, 179103",179103,Liho,179103,1.294149,103.852807
LiHO @ Burlington,"Burlington Square#01-53,175 Bencoolen Street, 189649",189649,Liho,189649,1.302198,103.8524939
LiHO @ Far East Plaza,"Far East Plaza #01-16F,14 Scotts Road, 228213",228213,Liho,228213,1.307249,103.833358
LiHO @ Great World City,"Great World City #B1-K1,1 Kim Seng Promenade, 237994",237994,Liho,237994,1.293984,103.832088
LiHO @ Plaza Singapura,"Plaza Singapura #B1-K7,68 Orchard Road, 238839",238839,Liho,238839,1.301016,103.845411
LiHO @ Orchard Gateway,"Orchard Gateway #B2-13,277 Orchard Road, 238858",238858,Liho,238858,1.300542,103.839192
LiHO @ Wisma Atria,"Wisma Atria #B1-03,435 Orchard Road, 238877",238877,Liho,238877,1.30351,103.833056
LiHO @ United Square,"United Square #B1-40,101 Thomson Road, 307591",307591,Liho,307591,1.317711,103.843491
LiHO @ Goldhill Centre,"Goldhill Centre #161,151 Thomson Road, 307606",307606,Liho,307606,1.318071,103.844033
LiHO @ Toa Payoh,"HDB Toa Payoh Central #01-530,184 Toa Payoh Central, 310184",310184,Liho,310184,1.332497,103.849241
LiHO @ Eunos MRT,"Eunos MRT Station (EW7) #01-05,30 Eunos Crescent, 409423",409423,Liho,409423,1.319782,103.902892
LiHO @ 112 Katong,"112 Katong #B1-02A,112 East Coast Road, 428802",428802,Liho,428802,1.305511,103.904622
LiHO @ Eastpoint Mall,"Eastpoint Mall (East Point) #01-K1,3 Simei Street 6, 528833",528833,Liho,528833,1.342806,103.952974
LiHO @ Tampires Mall,"Tampines Mall #B1-K5,4 Tampines Central 5, 529510",529510,Liho,529510,1.3526609,103.945245
LiHO @ Tampines MRT,"Tampines MRT Station (EW2) #01-24,20 Tampines Central 1, 529538",529538,Liho,529538,1.353448,103.945119
LiHO @ Hougang 1,"Hougang 1 #01-37,1 Hougang Street 91, 538692",538692,Liho,538692,1.376022,103.879482
LiHO @ Rivervale Mall,"Rivervale Mall #01-04A,11 Rivervale Crescent, 545082",545082,Liho,545082,1.392002,103.904984
LiHO @ Jubilee Square,"Jubilee Square #01-14 ,61 Ang Mo Kio Avenue 8, 569814",569814,Liho,569814,1.371839,103.8477
LiHO @ Thomson Plaza,"Thomson Plaza #01-104,301 Upper Thomson Road, 574408",574408,Liho,574408,1.354637,103.830935
LiHO @ Junction 8,"Junction 8 Shopping Centre #02-18A,9 Bishan Place, 579837",579837,Liho,579837,1.349971,103.848794
LiHO @ Clementi,"Clementi Arcade#01-87,41 Sunset Way, 597071",597071,Liho,597071,1.323497,103.767503
LiHO @ IMM,"IMM Building #01-K12,2 Jurong East Street 21, 609601",609601,Liho,609601,1.334938,103.746872
LiHO @ NTUC @ Jurong Point 1,"Jurong Point #B1-09,1 Jurong West Central 2, 648886",648886,Liho,648886,1.339874,103.706464
LiHO @ West Mall,"West Mall #B1-04/04A,1 Bukit Batok Central Link, 658713",658713,Liho,658713,1.349649,103.749107
