id,createddate,eventenqueuedutctime,generateddate,accountid,eventid,et,com,metricname,eventcompared,originalvalue,actualvalue,originalsource,actualsource
20180101-0003-4144-5245-746f74614153,2018-01-01T00:00:00.000000Z,2018-01-01T00:00:00.000000Z,2018-04-25T17:27:28.000000Z,667fa4a4-b3f0-4391-b740-a26db510c2d7,e79c98f8-f777-4416-b13a-65446f079147,90,AS,totalevents,et3,1,1,ADMIN,REDSHIFT
20180101-0003-4144-5245-746f74614241,2018-01-01T00:00:00.000000Z,2018-01-01T00:00:00.000000Z,2018-04-25T17:27:28.000000Z,667fa4a4-b3f0-4391-b740-a26db510c2d7,e79c98f8-f777-4416-b13a-65446f079147,90,BA,totalevents,et3,2,2,ADMIN,REDSHIFT
20180101-0003-4144-5245-746f7461424e,2018-01-01T00:00:00.000000Z,2018-01-01T00:00:00.000000Z,2018-04-25T17:27:28.000000Z,667fa4a4-b3f0-4391-b740-a26db510c2d7,e79c98f8-f777-4416-b13a-65446f079147,90,BN,totalevents,et3,3,3,ADMIN,REDSHIFT
20180101-0003-4144-5245-746f74614341,2018-01-01T00:00:00.000000Z,2018-01-01T00:00:00.000000Z,2018-04-25T17:27:28.000000Z,667fa4a4-b3f0-4391-b740-a26db510c2d7,e79c98f8-f777-4416-b13a-65446f079147,90,CA,totalevents,et3,4,4,ADMIN,REDSHIFT
20180101-0003-4144-5245-746f74614355,2018-01-01T00:00:00.000000Z,2018-01-01T00:00:00.000000Z,2018-04-25T17:27:28.000000Z,667fa4a4-b3f0-4391-b740-a26db510c2d7,e79c98f8-f777-4416-b13a-65446f079147,90,CU,totalevents,et3,5,5,ADMIN,REDSHIFT
20180101-0003-4144-5245-746f74614441,2018-01-01T00:00:00.000000Z,2018-01-01T00:00:00.000000Z,2018-04-25T17:27:28.000000Z,667fa4a4-b3f0-4391-b740-a26db510c2d7,e79c98f8-f777-4416-b13a-65446f079147,90,DA,totalevents,et3,6,6,ADMIN,REDSHIFT
20180101-0003-4144-5245-746f74614841,2018-01-01T00:00:00.000000Z,2018-01-01T00:00:00.000000Z,2018-04-25T17:27:28.000000Z,667fa4a4-b3f0-4391-b740-a26db510c2d7,e79c98f8-f777-4416-b13a-65446f079147,90,HA,totalevents,et3,7,7,ADMIN,REDSHIFT
20180101-0003-4144-5245-746f7461484b,2018-01-01T00:00:00.000000Z,2018-01-01T00:00:00.000000Z,2018-04-25T17:27:28.000000Z,667fa4a4-b3f0-4391-b740-a26db510c2d7,e79c98f8-f777-4416-b13a-65446f079147,90,HK,totalevents,et3,8,8,ADMIN,REDSHIFT
20180101-0003-4144-5245-746f74614d59,2018-01-01T00:00:00.000000Z,2018-01-01T00:00:00.000000Z,2018-04-25T17:27:28.000000Z,667fa4a4-b3f0-4391-b740-a26db510c2d7,e79c98f8-f777-4416-b13a-65446f079147,90,MY,totalevents,et3,9,9,ADMIN,REDSHIFT
20180101-0003-4144-5245-746f74614e5a,2018-01-01T00:00:00.000000Z,2018-01-01T00:00:00.000000Z,2018-04-25T17:27:28.000000Z,667fa4a4-b3f0-4391-b740-a26db510c2d7,e79c98f8-f777-4416-b13a-65446f079147,90,NZ,totalevents,et3,10,10,ADMIN,REDSHIFT
20180101-0003-4144-5245-746f74614f41,2018-01-01T00:00:00.000000Z,2018-01-01T00:00:00.000000Z,2018-04-25T17:27:28.000000Z,667fa4a4-b3f0-4391-b740-a26db510c2d7,e79c98f8-f777-4416-b13a-65446f079147,90,OA,totalevents,et3,11,11,ADMIN,REDSHIFT
20180101-0003-4144-5245-746f74615048,2018-01-01T00:00:00.000000Z,2018-01-01T00:00:00.000000Z,2018-04-25T17:27:28.000000Z,667fa4a4-b3f0-4391-b740-a26db510c2d7,e79c98f8-f777-4416-b13a-65446f079147,90,PH,totalevents,et3,12,12,ADMIN,REDSHIFT
20180101-0003-4144-5245-746f74615349,2018-01-01T00:00:00.000000Z,2018-01-01T00:00:00.000000Z,2018-04-25T17:27:28.000000Z,667fa4a4-b3f0-4391-b740-a26db510c2d7,e79c98f8-f777-4416-b13a-65446f079147,90,SI,totalevents,et3,13,13,ADMIN,REDSHIFT
20180101-0003-4144-5245-746f74615441,2018-01-01T00:00:00.000000Z,2018-01-01T00:00:00.000000Z,2018-04-25T17:27:28.000000Z,667fa4a4-b3f0-4391-b740-a26db510c2d7,e79c98f8-f777-4416-b13a-65446f079147,90,TA,totalevents,et3,14,14,ADMIN,REDSHIFT
20180101-0003-4144-5245-746f74615448,2018-01-01T00:00:00.000000Z,2018-01-01T00:00:00.000000Z,2018-04-25T17:27:28.000000Z,667fa4a4-b3f0-4391-b740-a26db510c2d7,e79c98f8-f777-4416-b13a-65446f079147,90,TH,totalevents,et3,15,15,ADMIN,REDSHIFT
20180101-0003-4144-5245-746f7461554b,2018-01-01T00:00:00.000000Z,2018-01-01T00:00:00.000000Z,2018-04-25T17:27:28.000000Z,667fa4a4-b3f0-4391-b740-a26db510c2d7,e79c98f8-f777-4416-b13a-65446f079147,90,UK,totalevents,et3,16,16,ADMIN,REDSHIFT
20180102-0003-4144-5245-746f74614153,2018-01-02T00:00:00.000000Z,2018-01-02T00:00:00.000000Z,2018-04-25T17:27:28.000000Z,667fa4a4-b3f0-4391-b740-a26db510c2d7,e79c98f8-f777-4416-b13a-65446f079147,90,AS,totalevents,et3,17,17,ADMIN,REDSHIFT
